Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
54,SA,[-0.01043911174969736],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99538055  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006258487701416016 overhead=None qpu=None
55,SA,[-0.011177398339278],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99709061  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006011486053466797 overhead=None qpu=None
56,SA,[-0.010669501010859506],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99718882  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005742073059082031 overhead=None qpu=None
57,SA,[-0.01151285230134036],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99631875  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.0061070919036865234 overhead=None qpu=None
58,SA,[-0.01083259382993873],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99614823  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005801200866699219 overhead=None qpu=None
59,SA,[-0.01007586842040098],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99637744  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005808830261230469 overhead=None qpu=None
60,SA,[-0.010263086211203643],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99636655  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.00603938102722168 overhead=None qpu=None
61,SA,[-0.01071884747154428],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99691312  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005778789520263672 overhead=None qpu=None
62,SA,[-0.010270902286155348],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99617792  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006064176559448242 overhead=None qpu=None
63,SA,[-0.010623932794842972],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99645791  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005832195281982422 overhead=None qpu=None
